,Unnamed: 0,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
158,320,1348.0,3.3,0.4,37.0,294.0,35.0,94.0,8.0,32.0,D
161,323,1296.0,4.1,0.4,37.0,294.0,35.0,94.0,8.0,32.0,D
162,324,2235.0,5.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
163,325,2235.0,5.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
168,330,1949.0,6.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
169,331,1949.0,6.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
178,340,1216.0,6.1,0.4,37.0,294.0,35.0,94.0,8.0,32.0,D
180,342,1700.0,7.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
181,343,1700.0,7.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
188,350,1519.0,8.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
189,351,1519.0,8.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
196,358,1160.0,8.2,0.4,37.0,294.0,35.0,94.0,8.0,32.0,D
219,381,1120.0,10.2,0.4,37.0,294.0,35.0,94.0,8.0,32.0,D
228,390,1197.0,11.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
229,391,1205.0,11.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
230,392,1197.0,11.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
231,393,1205.0,11.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
242,404,1167.0,12.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
243,405,1167.0,12.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
249,411,1080.0,12.2,0.4,37.0,294.0,35.0,94.0,8.0,32.0,D
264,426,1041.0,14.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
265,427,1041.0,14.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
280,442,991.0,15.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
281,443,991.0,15.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
290,452,935.0,16.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
291,453,935.0,16.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
305,467,897.0,17.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
306,468,897.0,17.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
319,481,864.0,18.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
320,482,864.0,18.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
327,489,976.0,18.4,0.4,37.0,294.0,35.0,94.0,8.0,32.0,D
335,497,831.0,19.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
336,498,831.0,19.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
349,511,803.0,20.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
350,512,803.0,20.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
