,Unnamed: 0,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
7,45,4200.0,0.6,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
8,49,4100.0,0.7,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
9,51,3989.0,0.8,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
10,54,3822.0,0.9,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
11,60,3701.0,1.0,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
12,65,3579.0,1.1,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
13,69,3450.0,1.2,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
14,71,3343.0,1.3,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
15,75,3232.0,1.4,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
16,81,3147.0,1.5,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
17,86,3062.0,1.6,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
18,87,2946.0,1.7,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
19,91,2887.0,1.8,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
20,94,2827.0,1.9,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
21,100,2738.0,2.0,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
22,103,2679.0,2.1,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
23,106,2620.0,2.2,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
24,109,2531.0,2.3,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
25,112,2501.0,2.4,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
26,117,2442.0,2.5,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
27,122,2382.0,2.6,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
28,124,2352.0,2.7,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
29,127,2294.0,2.8,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
30,133,2264.0,2.9,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
31,138,2205.0,3.0,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
32,142,2147.0,3.1,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
33,147,2118.0,3.2,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
34,150,2090.0,3.3,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
35,155,2061.0,3.4,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
36,160,2004.0,3.5,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
37,164,1976.0,3.6,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
38,169,1947.0,3.7,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
39,171,1920.0,3.8,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
40,177,1865.0,4.0,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
