,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
494,1356.0,18.4,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
495,1356.0,18.4,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
496,825.0,19.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
497,831.0,19.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
498,831.0,19.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
499,931.0,19.0,0.35,43.0,320.0,30.0,104.0,8.0,22.0,D
500,931.0,19.0,0.35,43.0,320.0,30.0,104.0,8.0,17.0,D
501,1011.0,19.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
502,1001.0,19.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
503,983.0,19.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
504,983.0,19.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
505,1286.0,19.4,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
506,1286.0,19.4,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
507,1286.0,19.4,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
508,1286.0,19.4,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
509,1286.0,19.4,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
510,1286.0,19.4,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
511,803.0,20.0,0.35,48.8,350.0,30.0,104.0,8.0,16.0,D
512,803.0,20.0,0.35,48.8,350.0,30.0,104.0,8.0,5.0,D
513,961.0,20.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
514,961.0,20.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
515,990.0,20.0,0.41,20.9,205.0,30.5,102.0,8.0,51.0,D
516,990.0,20.0,0.41,20.9,205.0,30.5,102.0,8.0,21.0,D
517,891.0,20.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
518,891.0,20.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
519,891.0,22.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
520,843.0,23.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
521,1882.0,25.5,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
522,1692.0,30.6,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
523,1568.0,35.7,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
524,1400.0,38.8,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
525,1200.0,40.8,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
