,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
234,3996.0,3.5,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
235,3996.0,3.5,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
236,3996.0,3.5,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
237,3515.0,3.5,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
238,3106.0,4.0,0.35,38.0,340.0,21.0,104.0,8.0,3.0,D
239,3650.0,4.0,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
240,1355.0,4.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
241,1355.0,4.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
242,3650.0,4.0,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
243,3650.0,4.0,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
244,3182.0,4.0,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
245,2849.0,4.5,0.35,38.0,340.0,21.0,104.0,8.0,3.0,D
246,3350.0,4.5,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
247,3350.0,4.5,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
248,3350.0,4.5,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
249,2930.0,4.5,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
250,2605.0,5.0,0.35,38.0,340.0,21.0,104.0,8.0,3.0,D
251,3083.0,5.0,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
252,3083.0,5.0,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
253,3083.0,5.0,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
254,2699.0,5.0,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
255,2992.0,5.4,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
256,2992.0,5.4,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
258,2429.0,5.5,0.35,38.0,340.0,21.0,104.0,8.0,3.0,D
259,2870.0,5.5,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
260,2523.0,5.5,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
262,1322.0,6.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
263,1322.0,6.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
264,2602.0,6.4,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
265,2602.0,6.4,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
267,2139.0,6.5,0.35,38.0,340.0,21.0,104.0,8.0,3.0,D
268,2230.0,6.5,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
269,2167.0,6.9,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
271,2395.0,7.0,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
272,1290.0,8.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
273,1290.0,8.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
274,2077.0,8.5,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
275,1874.0,8.5,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
276,2024.0,9.0,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
277,2024.0,9.0,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
278,1943.0,9.4,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
279,1943.0,9.4,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
280,1727.0,9.4,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
281,1584.0,10.0,0.35,38.0,340.0,21.0,104.0,8.0,3.0,D
282,1265.0,10.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
283,1265.0,10.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
284,1788.0,10.5,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
285,1801.0,10.5,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
286,1801.0,10.5,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
287,1607.0,10.5,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
288,1551.0,10.9,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
289,1731.0,11.0,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
290,1741.0,11.0,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
291,1741.0,11.0,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
292,1686.0,11.4,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
293,1686.0,11.4,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
294,1501.0,11.4,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
295,1671.0,11.5,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
