,Unnamed: 0,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
71,227,1395.0,2.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
72,228,1395.0,2.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
73,230,3880.0,3.0,0.35,38.0,340.0,21.0,104.0,8.0,3.0,D
75,233,3431.0,3.5,0.35,38.0,340.0,21.0,104.0,8.0,3.0,D
80,238,3106.0,4.0,0.35,38.0,340.0,21.0,104.0,8.0,3.0,D
82,240,1355.0,4.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
83,241,1355.0,4.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
87,245,2849.0,4.5,0.35,38.0,340.0,21.0,104.0,8.0,3.0,D
92,250,2605.0,5.0,0.35,38.0,340.0,21.0,104.0,8.0,3.0,D
99,258,2429.0,5.5,0.35,38.0,340.0,21.0,104.0,8.0,3.0,D
102,262,1322.0,6.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
103,263,1322.0,6.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
106,267,2139.0,6.5,0.35,38.0,340.0,21.0,104.0,8.0,3.0,D
110,272,1290.0,8.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
111,273,1290.0,8.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
119,281,1584.0,10.0,0.35,38.0,340.0,21.0,104.0,8.0,3.0,D
120,282,1265.0,10.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
121,283,1265.0,10.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
136,298,1235.0,12.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
137,299,1235.0,12.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
146,308,1205.0,14.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
147,309,1205.0,14.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
148,310,1175.0,16.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
149,311,1175.0,16.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
150,312,1150.0,18.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
151,313,1150.0,18.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
152,314,1095.0,22.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
153,315,1095.0,22.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
154,316,1050.0,26.0,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
155,317,1050.0,26.0,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
156,318,1025.0,27.7,0.52,18.85,218.0,42.0,107.0,10.0,52.0,D
157,319,1025.0,27.7,0.52,18.85,218.0,42.0,107.0,10.0,34.0,D
159,321,1360.0,4.0,0.41,20.9,205.0,30.5,102.0,8.0,51.0,D
174,336,1272.0,6.0,0.41,20.9,205.0,30.5,102.0,8.0,51.0,D
192,354,1216.0,8.0,0.41,20.9,205.0,30.5,102.0,8.0,51.0,D
197,359,2770.0,8.2,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
217,379,1178.0,10.0,0.41,20.9,205.0,30.5,102.0,8.0,51.0,D
220,382,2503.0,10.2,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
245,407,1132.0,12.0,0.41,20.9,205.0,30.5,102.0,8.0,51.0,D
269,431,1098.0,14.0,0.41,20.9,205.0,30.5,102.0,8.0,51.0,D
284,446,2171.0,15.3,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
353,515,990.0,20.0,0.41,20.9,205.0,30.5,102.0,8.0,51.0,D
359,521,1882.0,25.5,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
360,522,1692.0,30.6,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
361,523,1568.0,35.7,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
362,524,1400.0,38.8,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
363,525,1200.0,40.8,0.62,7.16,175.0,18.0,135.0,8.0,7.0,D
