,Unnamed: 0,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
176,338,2293.0,6.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
177,339,2293.0,6.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
179,341,1806.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
182,344,1907.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,22.0,D
183,345,1907.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,17.0,D
184,346,2047.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
185,347,2051.0,7.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
186,348,2015.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
187,349,2015.0,7.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
190,352,1861.0,8.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
191,353,1858.0,8.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
193,355,1216.0,8.0,0.41,20.9,205.0,30.5,102.0,8.0,21.0,D
194,356,1822.0,8.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
195,357,1822.0,8.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
198,360,2434.0,8.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
199,361,2434.0,8.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
200,362,2434.0,8.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
201,363,2434.0,8.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
202,364,2434.0,8.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
203,365,2434.0,8.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
204,366,1517.0,9.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
205,367,1701.0,9.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
206,368,1698.0,9.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
207,369,1668.0,9.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
208,370,1668.0,9.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
209,371,2215.0,9.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
210,372,2215.0,9.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
211,373,2215.0,9.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
212,374,2215.0,9.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
213,375,2215.0,9.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
214,376,2215.0,9.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
215,377,1584.0,10.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
216,378,1577.0,10.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
218,380,1178.0,10.0,0.41,20.9,205.0,30.5,102.0,8.0,21.0,D
221,383,2103.0,10.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
222,384,2103.0,10.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
223,385,2103.0,10.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
224,386,2103.0,10.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
225,387,2103.0,10.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
226,388,2103.0,10.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
227,389,1326.0,11.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
232,394,1480.0,11.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
233,395,1456.0,11.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
234,396,1456.0,11.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
235,397,1936.0,11.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
236,398,1936.0,11.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
237,399,1936.0,11.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
238,400,1936.0,11.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
239,401,1936.0,11.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
240,402,1936.0,11.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
241,403,1246.0,12.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
244,406,1397.0,12.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
246,408,1132.0,12.0,0.41,20.9,205.0,30.5,102.0,8.0,21.0,D
247,409,1369.0,12.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
248,410,1369.0,12.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
250,412,1817.0,12.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
251,413,1817.0,12.2,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
252,414,1817.0,12.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
253,415,1817.0,12.2,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
254,416,1180.0,13.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
255,417,1322.0,13.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
256,418,1309.0,13.0,0.4,37.2,300.0,36.0,104.0,8.0,13.0,D
257,419,1730.0,13.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
258,420,1730.0,13.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
259,421,1730.0,13.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
260,422,1730.0,13.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
261,423,1730.0,13.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
262,424,1730.0,13.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
263,425,1117.0,14.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
266,428,1188.0,14.0,0.35,43.0,320.0,30.0,104.0,8.0,22.0,D
267,429,1188.0,14.0,0.35,43.0,320.0,30.0,104.0,8.0,17.0,D
268,430,1254.0,14.0,0.35,43.0,320.0,30.0,104.0,8.0,41.0,D
270,432,1098.0,14.0,0.41,20.9,205.0,30.5,102.0,8.0,21.0,D
271,433,1230.0,14.0,0.35,43.0,320.0,30.0,104.0,8.0,43.0,D
272,434,1230.0,14.0,0.35,43.0,320.0,30.0,104.0,8.0,26.0,D
273,435,1637.0,14.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
274,436,1637.0,14.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
275,437,1637.0,14.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
276,438,1637.0,14.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
277,439,1637.0,14.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
278,440,1637.0,14.3,0.47,20.6,210.0,41.0,104.0,8.0,25.0,D
279,441,1063.0,15.0,0.35,43.0,320.0,30.0,104.0,8.0,35.0,D
282,444,1121.0,15.0,0.35,43.0,320.0,30.0,104.0,8.0,22.0,D
283,445,1121.0,15.0,0.35,43.0,320.0,30.0,104.0,8.0,17.0,D
285,447,1536.0,15.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
286,448,1536.0,15.3,0.47,20.6,210.0,41.0,104.0,8.0,1.0,D
