,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
591,2439.0,0.6,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
592,2775.0,0.7,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
593,2354.0,0.8,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
594,2354.0,0.8,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
595,2354.0,0.8,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
596,2719.0,0.8,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
597,2354.0,0.8,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
598,2354.0,0.8,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
600,2269.0,1.0,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
601,2269.0,1.0,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
602,2269.0,1.0,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
603,2610.0,1.0,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
604,2269.0,1.0,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
605,2269.0,1.0,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
606,2557.0,1.1,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
608,2201.0,1.2,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
609,2201.0,1.2,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
610,2201.0,1.2,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
611,2504.0,1.2,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
612,2201.0,1.2,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
613,2201.0,1.2,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
614,2133.0,1.4,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
615,2133.0,1.4,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
616,2133.0,1.4,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
617,2401.0,1.4,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
618,2133.0,1.4,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
619,2133.0,1.4,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
621,2351.0,1.5,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
622,2065.0,1.6,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
623,2065.0,1.6,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
624,2065.0,1.6,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
626,2005.0,1.8,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
627,2005.0,1.8,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
628,2005.0,1.8,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
629,2204.0,1.8,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
630,2005.0,1.8,0.22,37.0,550.0,13.0,88.0,8.0,28.0,B
631,2005.0,1.8,0.22,37.0,550.0,13.0,88.0,8.0,33.0,B
632,2157.0,1.9,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
633,1941.0,2.0,0.22,37.0,550.0,13.0,88.0,8.0,27.0,B
634,1941.0,2.0,0.22,37.0,550.0,13.0,88.0,8.0,49.0,B
635,1941.0,2.0,0.22,37.0,550.0,13.0,88.0,8.0,44.0,B
636,2110.0,2.0,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
638,2065.0,2.1,0.28,35.6,580.0,11.0,94.0,8.0,6.0,B
