,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
152,1655.0,3.3,0.25,119.5,550.0,10.0,87.0,8.0,31.0,C
154,1647.1,3.361224489795918,0.25,119.5,550.0,10.0,87.0,8.0,20.0,C
158,1343.0,3.5,0.25,136.2,630.0,22.0,88.0,8.0,45.0,C
159,1396.0,3.5,0.25,136.2,630.0,22.0,88.0,8.0,30.0,C
163,1214.0,3.6,0.25,82.5,620.0,13.0,88.0,8.0,37.0,C
165,1604.0,3.6,0.25,119.5,550.0,10.0,87.0,8.0,48.0,C
166,1604.0,3.6,0.25,119.5,550.0,10.0,87.0,8.0,31.0,C
168,1590.2,3.6163265306122447,0.25,119.5,550.0,10.0,87.0,8.0,20.0,C
173,1482.0,3.871428571428571,0.25,119.5,550.0,10.0,87.0,8.0,20.0,C
174,1546.0,3.9,0.25,119.5,550.0,10.0,87.0,8.0,48.0,C
175,1546.0,3.9,0.25,119.5,550.0,10.0,87.0,8.0,31.0,C
180,1120.0,4.1,0.25,82.5,620.0,13.0,88.0,8.0,37.0,C
185,1177.0,4.5,0.25,136.2,630.0,22.0,88.0,8.0,45.0,C
186,1035.0,4.6,0.25,82.5,620.0,13.0,88.0,8.0,37.0,C
189,1108.0,5.0,0.25,136.2,630.0,22.0,88.0,8.0,45.0,C
190,1139.0,5.0,0.25,136.2,630.0,22.0,88.0,8.0,30.0,C
192,922.0,5.1,0.25,82.5,620.0,13.0,88.0,8.0,37.0,C
193,1048.0,5.5,0.25,136.2,630.0,22.0,88.0,8.0,45.0,C
194,1072.0,5.5,0.25,136.2,630.0,22.0,88.0,8.0,30.0,C
196,991.0,6.0,0.25,136.2,630.0,22.0,88.0,8.0,45.0,C
197,1022.0,6.0,0.25,136.2,630.0,22.0,88.0,8.0,30.0,C
198,941.0,6.5,0.25,136.2,630.0,22.0,88.0,8.0,45.0,C
199,962.0,6.5,0.25,136.2,630.0,22.0,88.0,8.0,30.0,C
201,919.0,7.0,0.25,136.2,630.0,22.0,88.0,8.0,30.0,C
202,896.0,7.1,0.25,136.2,630.0,22.0,88.0,8.0,45.0,C
207,806.0,9.0,0.25,136.2,630.0,22.0,88.0,8.0,45.0,C
226,2925.0,2.0,0.28,87.0,450.0,26.5,88.0,8.0,23.0,C
229,2491.0,2.5,0.28,87.0,450.0,26.5,88.0,8.0,23.0,C
232,2039.0,3.5,0.28,87.0,450.0,26.5,88.0,8.0,23.0,C
257,1567.0,5.5,0.28,87.0,450.0,26.5,88.0,8.0,23.0,C
261,1477.0,6.0,0.28,87.0,450.0,26.5,88.0,8.0,23.0,C
266,1400.0,6.5,0.28,87.0,450.0,26.5,88.0,8.0,23.0,C
270,1322.0,7.0,0.28,87.0,450.0,26.5,88.0,8.0,23.0,C
576,2180.0,0.3,0.25,107.8,670.0,13.0,87.0,8.0,9.0,C
585,2060.0,0.6,0.25,107.8,670.0,13.0,87.0,8.0,9.0,C
599,1950.0,0.9,0.25,107.8,670.0,13.0,87.0,8.0,9.0,C
607,1853.0,1.2,0.25,107.8,670.0,13.0,87.0,8.0,9.0,C
620,1780.0,1.5,0.25,107.8,670.0,13.0,87.0,8.0,9.0,C
625,1707.0,1.8,0.25,107.8,670.0,13.0,87.0,8.0,9.0,C
637,1638.0,2.1,0.25,107.8,670.0,13.0,87.0,8.0,9.0,C
652,1520.0,2.7,0.25,107.8,670.0,13.0,87.0,8.0,9.0,C
685,1410.0,3.6,0.25,107.8,670.0,13.0,87.0,8.0,9.0,C
694,1382.0,3.9,0.25,107.8,670.0,13.0,87.0,8.0,9.0,C
716,1335.0,4.5,0.25,107.8,670.0,13.0,87.0,8.0,9.0,C
730,1319.0,4.8,0.25,107.8,670.0,13.0,87.0,8.0,9.0,C
