P/No,Watt,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Torque_division,shape_division
EAU62983008,30,1991,1.5,0.25,60,390,10,88,10,1~4,A
EAU62983010,30,2252,1.5,0.28,60,580,7.5,94,8,1~4,A
EAU62983016,30,2108.6,1.6,0.25,119.5,550,10,87,8,1~4,A
EAU36288424,124,3062,1.6,0.37,45,320,32.5,104,8,1~4,A
EAU36288424,124,2946,1.7,0.37,45,320,32.5,104,8,1~4,A
EAU62983002,30,2090,1.7,0.25,119.5,550,10,87,8,1~4,A
EAU62983004,30,2090,1.7,0.25,119.5,550,10,87,8,1~4,A
EAU62983008,30,1994,1.7,0.25,60,390,10,88,10,1~4,A
EAU36288424,124,2887,1.8,0.37,45,320,32.5,104,8,1~4,A
EAU62983010,30,2189,1.8,0.28,60,580,7.5,94,8,1~4,A
EAU62983016,30,2024,1.8,0.25,119.5,550,10,87,8,1~4,A
EAU36288424,124,2827,1.9,0.37,45,320,32.5,104,8,1~4,A
EAU62983008,30,1991,1.9,0.25,60,390,10,88,10,1~4,A
EAU62983010,30,2166,1.9,0.28,60,580,7.5,94,8,1~4,A
EAU62243920,40,1596,2,0.25,82.5,620,13,88,8,1~4,A
4681A20168G,43,1917,2,0.25,136.2,630,22,88,8,1~4,A
4681A20168H,43,1914,2,0.25,136.2,630,22,88,8,1~4,A
EAU36288424,124,2738,2,0.37,45,320,32.5,104,8,1~4,A
EAU61883001,30,3166,2,0.28,50.1,420,13,88,8,1~4,A
EAU62983016,30,1943.3,2.1,0.25,119.5,550,10,87,8,1~4,A
EAU36288424,124,2679,2.1,0.37,45,320,32.5,104,8,1~4,A
EAU62983008,30,1993,2.1,0.25,60,390,10,88,10,1~4,A
EAU62983010,30,2120,2.1,0.28,60,580,7.5,94,8,1~4,A
EAU36288424,124,2620,2.2,0.37,45,320,32.5,104,8,1~4,A
EAU62983002,30,1910,2.2,0.25,119.5,550,10,87,8,1~4,A
EAU62983004,30,1910,2.2,0.25,119.5,550,10,87,8,1~4,A
EAU36288424,124,2531,2.3,0.37,45,320,32.5,104,8,1~4,A
EAU62983010,30,2074,2.3,0.28,60,580,7.5,94,8,1~4,A
EAU62983016,30,1870.1,2.3,0.25,119.5,550,10,87,8,1~4,A
EAU36288424,124,2501,2.4,0.37,45,320,32.5,104,8,1~4,A
EAU62983010,30,2051,2.4,0.28,60,580,7.5,94,8,1~4,A
EAU62243920,40,1449,2.5,0.25,82.5,620,13,88,8,1~4,A
4681A20168G,43,1644,2.5,0.25,136.2,630,22,88,8,1~4,A
4681A20168H,43,1679,2.5,0.25,136.2,630,22,88,8,1~4,A
EAU36288424,124,2442,2.5,0.37,45,320,32.5,104,8,1~4,A
EAU61883001,30,2846,2.5,0.28,50.1,420,13,88,8,1~4,A
EAU62983002,30,1833,2.5,0.25,119.5,550,10,87,8,1~4,A
EAU62983004,30,1833,2.5,0.25,119.5,550,10,87,8,1~4,A
EAU62983016,30,1803.8,2.6,0.25,119.5,550,10,87,8,1~4,A
EAU36288424,124,2382,2.6,0.37,45,320,32.5,104,8,1~4,A
EAU62983010,30,2006,2.6,0.28,60,580,7.5,94,8,1~4,A
EAU36288424,124,2352,2.7,0.37,45,320,32.5,104,8,1~4,A
EAU62983008,30,1923,2.7,0.25,60,390,10,88,10,1~4,A
EAU62983010,30,1980,2.7,0.28,60,580,7.5,94,8,1~4,A
EAU36288424,124,2294,2.8,0.37,45,320,32.5,104,8,1~4,A
EAU62983002,30,1770,2.8,0.25,119.5,550,10,87,8,1~4,A
EAU62983004,30,1770,2.8,0.25,119.5,550,10,87,8,1~4,A
EAU62983008,30,1857,2.8,0.25,60,390,10,88,10,1~4,A
EAU62983010,30,1954,2.8,0.28,60,580,7.5,94,8,1~4,A
EAU62983016,30,1747.1,2.9,0.25,119.5,550,10,87,8,1~4,A
EAU36288424,124,2264,2.9,0.37,45,320,32.5,104,8,1~4,A
EAU62983008,30,1784,2.9,0.25,60,390,10,88,10,1~4,A
EAU62983010,30,1927,2.9,0.28,60,580,7.5,94,8,1~4,A
4681A20168G,43,1474,3,0.25,136.2,630,22,88,8,1~4,A
4681A20168H,43,1515,3,0.25,136.2,630,22,88,8,1~4,A
EAU36288424,124,2205,3,0.37,45,320,32.5,104,8,1~4,A
EAU61883001,30,2594,3,0.28,50.1,420,13,88,8,1~4,A
EAU62983010,30,1897,3,0.28,60,580,7.5,94,8,1~4,A
EAU62243920,40,1319,3.1,0.25,82.5,620,13,88,8,1~4,A
