,max_Speed(RPM),min_Speed(RPM),max_Torque(kg.cm),min_Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,label,motor_name
13,403.0,375.0,5.0,0.1,0.28,35.6,580,11.0,94,8,3.0,EAU62843030
15,3186.0,1068.0,5.0,0.0,0.28,35.6,580,11.0,94,8,3.0,EAU62843015
16,403.0,375.0,5.0,0.1,0.28,35.6,580,11.0,94,8,3.0,EAU62843029
27,2633.0,795.0,5.1,0.2,0.22,37.0,550,13.0,88,8,3.0,EAU62843009
33,2633.0,795.0,5.1,0.2,0.22,37.0,550,13.0,88,8,3.0,EAU62843008
34,1139.0,1101.0,5.0,0.1,0.28,56.6,580,11.0,94,8,3.0,EAU62843017
37,1139.0,1101.0,5.0,0.1,0.28,56.6,580,11.0,94,8,3.0,EAU62243916
40,403.0,375.0,5.0,0.1,0.28,35.6,580,11.0,94,8,3.0,EAU62843031
41,2633.0,795.0,5.1,0.2,0.22,37.0,550,13.0,88,8,3.0,EAU62983003
44,2633.0,795.0,5.1,0.2,0.22,37.0,550,13.0,88,8,3.0,EAU62983001
45,2345.0,1102.0,4.1,1.1,0.28,60.0,580,7.5,94,8,3.0,EAU62983010
47,2633.0,795.0,5.1,0.2,0.22,37.0,550,13.0,88,8,3.0,EAU62843011
53,1139.0,1101.0,5.0,0.1,0.28,56.6,580,11.0,94,8,3.0,EAU62843016
54,1139.0,1101.0,5.0,0.1,0.28,56.6,580,11.0,94,8,3.0,EAU62843028
