,max_Speed(RPM),min_Speed(RPM),max_Torque(kg.cm),min_Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,label,motor_name
14,1600.0,600.0,54.5,29.9,0.85,7.6,180,60.0,130,6,2.0,EAU37067120
18,1600.0,600.0,41.4,24.7,0.9,5.25,138,60.0,130,6,2.0,EAU37067103
23,1600.0,600.0,52.7,25.8,0.85,7.6,180,60.0,130,6,2.0,EAU37067118
31,1600.0,600.0,41.4,24.7,0.9,5.25,138,60.0,130,6,2.0,EAU37067108
43,1600.0,800.0,53.6,21.8,0.9,5.48,144,60.0,130,6,2.0,EAU37067114
