,max_Speed(RPM),min_Speed(RPM),max_Torque(kg.cm),min_Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,label,motor_name
0,1100.0,880.0,4.0,1.7,0.27,105.3,565,22.0,87,8,0.0,EAU32165801
2,2925.0,1322.0,7.0,2.0,0.28,87.0,450,26.5,88,8,0.0,EAU61883002
6,2003.0,1516.0,3.4,0.1,0.25,60.0,390,10.0,88,10,0.0,EAU62983008
11,3779.0,806.0,9.0,0.5,0.25,136.2,630,22.0,88,8,0.0,4681A20168G
19,6878.0,1195.0,7.5,0.5,0.28,86.0,450,26.5,88,8,0.0,EAU62543502
28,2918.0,1546.0,3.9,0.1,0.25,119.5,550,10.0,87,8,0.0,EAU62983004
32,6015.0,1998.0,4.0,0.5,0.28,50.1,420,13.0,88,8,0.0,EAU61883001
35,2884.0,1482.0,3.9,0.0,0.25,119.5,550,10.0,87,8,0.0,EAU62983016
36,2180.0,1319.0,4.8,0.3,0.25,107.8,670,13.0,87,8,0.0,EAU60663101
49,3359.0,922.0,5.1,0.3,0.25,82.5,620,13.0,88,8,0.0,EAU62243920
51,2918.0,1546.0,3.9,0.1,0.25,119.5,550,10.0,87,8,0.0,EAU62983002
52,3907.0,919.0,7.0,0.5,0.25,136.2,630,22.0,88,8,0.0,4681A20168H
