,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,label
80,2259.0,1.5,0.25,136.2,630.0,22.0,88.0,8.0,0.0
81,3147.0,1.5,0.37,45.0,320.0,32.5,104.0,8.0,2.0
82,3554.0,1.5,0.28,50.1,420.0,13.0,88.0,8.0,0.0
83,1991.0,1.5,0.25,60.0,390.0,10.0,88.0,10.0,0.0
84,2252.0,1.5,0.28,60.0,580.0,7.5,94.0,8.0,0.0
85,2108.6,1.6,0.25,119.5,550.0,10.0,87.0,8.0,0.0
86,3062.0,1.6,0.37,45.0,320.0,32.5,104.0,8.0,2.0
87,2946.0,1.7,0.37,45.0,320.0,32.5,104.0,8.0,2.0
88,2090.0,1.7,0.25,119.5,550.0,10.0,87.0,8.0,0.0
89,2090.0,1.7,0.25,119.5,550.0,10.0,87.0,8.0,0.0
90,1994.0,1.7,0.25,60.0,390.0,10.0,88.0,10.0,0.0
91,2887.0,1.8,0.37,45.0,320.0,32.5,104.0,8.0,2.0
92,2189.0,1.8,0.28,60.0,580.0,7.5,94.0,8.0,0.0
93,2024.0,1.8,0.25,119.5,550.0,10.0,87.0,8.0,0.0
94,2827.0,1.9,0.37,45.0,320.0,32.5,104.0,8.0,2.0
95,1991.0,1.9,0.25,60.0,390.0,10.0,88.0,10.0,0.0
96,2166.0,1.9,0.28,60.0,580.0,7.5,94.0,8.0,0.0
97,1596.0,2.0,0.25,82.5,620.0,13.0,88.0,8.0,0.0
98,1917.0,2.0,0.25,136.2,630.0,22.0,88.0,8.0,0.0
99,1914.0,2.0,0.25,136.2,630.0,22.0,88.0,8.0,0.0
100,2738.0,2.0,0.37,45.0,320.0,32.5,104.0,8.0,2.0
101,3166.0,2.0,0.28,50.1,420.0,13.0,88.0,8.0,0.0
102,1943.3,2.1,0.25,119.5,550.0,10.0,87.0,8.0,0.0
103,2679.0,2.1,0.37,45.0,320.0,32.5,104.0,8.0,2.0
104,1993.0,2.1,0.25,60.0,390.0,10.0,88.0,10.0,0.0
105,2120.0,2.1,0.28,60.0,580.0,7.5,94.0,8.0,0.0
106,2620.0,2.2,0.37,45.0,320.0,32.5,104.0,8.0,2.0
107,1910.0,2.2,0.25,119.5,550.0,10.0,87.0,8.0,0.0
108,1910.0,2.2,0.25,119.5,550.0,10.0,87.0,8.0,0.0
109,2531.0,2.3,0.37,45.0,320.0,32.5,104.0,8.0,2.0
110,2074.0,2.3,0.28,60.0,580.0,7.5,94.0,8.0,0.0
111,1870.1,2.3,0.25,119.5,550.0,10.0,87.0,8.0,0.0
112,2501.0,2.4,0.37,45.0,320.0,32.5,104.0,8.0,2.0
113,2051.0,2.4,0.28,60.0,580.0,7.5,94.0,8.0,0.0
114,1449.0,2.5,0.25,82.5,620.0,13.0,88.0,8.0,0.0
115,1644.0,2.5,0.25,136.2,630.0,22.0,88.0,8.0,0.0
116,1679.0,2.5,0.25,136.2,630.0,22.0,88.0,8.0,0.0
117,2442.0,2.5,0.37,45.0,320.0,32.5,104.0,8.0,2.0
118,2846.0,2.5,0.28,50.1,420.0,13.0,88.0,8.0,0.0
119,1833.0,2.5,0.25,119.5,550.0,10.0,87.0,8.0,0.0
120,1833.0,2.5,0.25,119.5,550.0,10.0,87.0,8.0,0.0
121,1803.8,2.6,0.25,119.5,550.0,10.0,87.0,8.0,0.0
122,2382.0,2.6,0.37,45.0,320.0,32.5,104.0,8.0,2.0
123,2006.0,2.6,0.28,60.0,580.0,7.5,94.0,8.0,0.0
124,2352.0,2.7,0.37,45.0,320.0,32.5,104.0,8.0,2.0
125,1923.0,2.7,0.25,60.0,390.0,10.0,88.0,10.0,0.0
126,1980.0,2.7,0.28,60.0,580.0,7.5,94.0,8.0,0.0
127,2294.0,2.8,0.37,45.0,320.0,32.5,104.0,8.0,2.0
128,1770.0,2.8,0.25,119.5,550.0,10.0,87.0,8.0,0.0
129,1770.0,2.8,0.25,119.5,550.0,10.0,87.0,8.0,0.0
130,1857.0,2.8,0.25,60.0,390.0,10.0,88.0,10.0,0.0
131,1954.0,2.8,0.28,60.0,580.0,7.5,94.0,8.0,0.0
132,1747.1,2.9,0.25,119.5,550.0,10.0,87.0,8.0,0.0
133,2264.0,2.9,0.37,45.0,320.0,32.5,104.0,8.0,2.0
134,1784.0,2.9,0.25,60.0,390.0,10.0,88.0,10.0,0.0
135,1927.0,2.9,0.28,60.0,580.0,7.5,94.0,8.0,0.0
136,1474.0,3.0,0.25,136.2,630.0,22.0,88.0,8.0,0.0
137,1515.0,3.0,0.25,136.2,630.0,22.0,88.0,8.0,0.0
138,2205.0,3.0,0.37,45.0,320.0,32.5,104.0,8.0,2.0
139,2594.0,3.0,0.28,50.1,420.0,13.0,88.0,8.0,0.0
140,1897.0,3.0,0.28,60.0,580.0,7.5,94.0,8.0,0.0
141,1319.0,3.1,0.25,82.5,620.0,13.0,88.0,8.0,0.0
142,2147.0,3.1,0.37,45.0,320.0,32.5,104.0,8.0,2.0
143,1706.0,3.1,0.25,119.5,550.0,10.0,87.0,8.0,0.0
144,1706.0,3.1,0.25,119.5,550.0,10.0,87.0,8.0,0.0
145,1865.0,3.1,0.28,60.0,580.0,7.5,94.0,8.0,0.0
146,1695.4,3.1,0.25,119.5,550.0,10.0,87.0,8.0,0.0
147,2118.0,3.2,0.37,45.0,320.0,32.5,104.0,8.0,2.0
148,1604.0,3.2,0.25,60.0,390.0,10.0,88.0,10.0,0.0
149,1833.0,3.2,0.28,60.0,580.0,7.5,94.0,8.0,0.0
150,2090.0,3.3,0.37,45.0,320.0,32.5,104.0,8.0,2.0
151,1655.0,3.3,0.25,119.5,550.0,10.0,87.0,8.0,0.0
152,1655.0,3.3,0.25,119.5,550.0,10.0,87.0,8.0,0.0
153,1804.0,3.3,0.28,60.0,580.0,7.5,94.0,8.0,0.0
154,1647.1,3.4,0.25,119.5,550.0,10.0,87.0,8.0,0.0
155,2061.0,3.4,0.37,45.0,320.0,32.5,104.0,8.0,2.0
156,1516.0,3.4,0.25,60.0,390.0,10.0,88.0,10.0,0.0
157,1739.0,3.4,0.28,60.0,580.0,7.5,94.0,8.0,0.0
158,1343.0,3.5,0.25,136.2,630.0,22.0,88.0,8.0,0.0
159,1396.0,3.5,0.25,136.2,630.0,22.0,88.0,8.0,0.0
160,2004.0,3.5,0.37,45.0,320.0,32.5,104.0,8.0,2.0
161,2364.0,3.5,0.28,50.1,420.0,13.0,88.0,8.0,0.0
162,1686.0,3.5,0.28,60.0,580.0,7.5,94.0,8.0,0.0
163,1214.0,3.6,0.25,82.5,620.0,13.0,88.0,8.0,0.0
164,1976.0,3.6,0.37,45.0,320.0,32.5,104.0,8.0,2.0
165,1604.0,3.6,0.25,119.5,550.0,10.0,87.0,8.0,0.0
166,1604.0,3.6,0.25,119.5,550.0,10.0,87.0,8.0,0.0
167,1619.0,3.6,0.28,60.0,580.0,7.5,94.0,8.0,0.0
168,1590.2,3.6,0.25,119.5,550.0,10.0,87.0,8.0,0.0
169,1947.0,3.7,0.37,45.0,320.0,32.5,104.0,8.0,2.0
170,1551.0,3.7,0.28,60.0,580.0,7.5,94.0,8.0,0.0
171,1920.0,3.8,0.37,45.0,320.0,32.5,104.0,8.0,2.0
172,1460.0,3.8,0.28,60.0,580.0,7.5,94.0,8.0,0.0
173,1482.0,3.9,0.25,119.5,550.0,10.0,87.0,8.0,0.0
174,1546.0,3.9,0.25,119.5,550.0,10.0,87.0,8.0,0.0
175,1546.0,3.9,0.25,119.5,550.0,10.0,87.0,8.0,0.0
176,1350.0,3.9,0.28,60.0,580.0,7.5,94.0,8.0,0.0
177,1865.0,4.0,0.37,45.0,320.0,32.5,104.0,8.0,2.0
178,1998.0,4.0,0.28,50.1,420.0,13.0,88.0,8.0,0.0
179,1239.0,4.0,0.28,60.0,580.0,7.5,94.0,8.0,0.0
180,1120.0,4.1,0.25,82.5,620.0,13.0,88.0,8.0,0.0
